"municipality,""yyyymm"",""Prob_ZINBASE"""
"Bom Jardim,""202008"",0.005"
"Bom Jardim,""202009"",0.0381"
"Bom Jardim,""202010"",0.1414"
"Bom Jardim,""202011"",0.2969"
"Bom Jardim,""202012"",0.1425"
"Bom Jardim,""202101"",0.1401"
"Bom Jardim,""202102"",0.489"
"Bom Jardim,""202103"",0.3033"
"Bom Jardim,""202104"",0.089"
"Bom Jardim,""202105"",0.0145"
"Bom Jardim,""202106"",0.0002"
"Bom Jardim,""202107"",0.0583"
"Bom Jardim,""202108"",0.0222"
"Bom Jardim,""202109"",0.1678"
"Bom Jardim,""202110"",0.5393"
"Bom Jardim,""202111"",0.5092"
"Bom Jardim,""202112"",0.5522"
"Bom Jardim,""202201"",0.1168"
"Bom Jardim,""202202"",0.0964"
"Bom Jardim,""202203"",0.1478"
"Bom Jardim,""202204"",0.0267"
"Bom Jardim,""202205"",0.0566"
"Bom Jardim,""202206"",0"
"Bom Jardim,""202207"",0.0004"
"Bom Jardim,""202208"",0.0026"
"Bom Jardim,""202209"",0.0291"
"Bom Jardim,""202210"",0.1897"
"Bom Jardim,""202211"",0.2237"
"Bom Jardim,""202212"",0.0723"
"Bom Jardim,""202301"",0.1678"
"Bom Jardim,""202302"",0.1973"
"Bom Jardim,""202303"",0.0283"
"Bom Jardim,""202304"",0.0089"
"Bom Jardim,""202305"",0.0054"
"Bom Jardim,""202306"",0.0008"
"Bonito,""202102"",0.0391"
"Bonito,""202103"",0.0564"
"Bonito,""202104"",0.0162"
"Bonito,""202105"",0.0005"
"Bonito,""202106"",0"
"Bonito,""202107"",0.0037"
"Bonito,""202108"",0.0006"
"Bonito,""202109"",0.0019"
"Bonito,""202110"",0.0781"
"Bonito,""202111"",0.1182"
"Bonito,""202112"",0.1618"
"Bonito,""202201"",0.029"
"Bonito,""202202"",0.0519"
"Bonito,""202203"",0.0416"
"Bonito,""202204"",0.0028"
"Bonito,""202205"",0.0086"
"Bonito,""202206"",0.0001"
"Bonito,""202207"",0.0001"
"Bonito,""202208"",0"
"Bonito,""202209"",0.0024"
"Bonito,""202210"",0.029"
"Bonito,""202211"",0.038"
"Bonito,""202212"",0.0043"
"Bonito,""202301"",0.0206"
"Bonito,""202302"",0.0179"
"Bonito,""202303"",0.0036"
"Bonito,""202304"",0.0026"
"Bonito,""202305"",0.0007"
"Bonito,""202306"",0.0002"
"Brejo da Madre de Deus,""202002"",0.4452"
"Brejo da Madre de Deus,""202003"",0.0226"
"Brejo da Madre de Deus,""202004"",0.0005"
"Brejo da Madre de Deus,""202005"",0.0136"
"Brejo da Madre de Deus,""202006"",0.0363"
"Brejo da Madre de Deus,""202007"",0.0226"
"Brejo da Madre de Deus,""202008"",0.02"
"Brejo da Madre de Deus,""202009"",0.1703"
"Brejo da Madre de Deus,""202010"",0.4588"
"Brejo da Madre de Deus,""202011"",0.6311"
"Brejo da Madre de Deus,""202012"",0.3166"
"Brejo da Madre de Deus,""202101"",0.1208"
"Brejo da Madre de Deus,""202102"",0.3385"
"Brejo da Madre de Deus,""202103"",0.0207"
"Brejo da Madre de Deus,""202104"",0.0507"
"Brejo da Madre de Deus,""202105"",0.0024"
"Brejo da Madre de Deus,""202106"",0.0046"
"Brejo da Madre de Deus,""202107"",0.0544"
"Brejo da Madre de Deus,""202108"",0.0374"
"Brejo da Madre de Deus,""202109"",0.264"
"Brejo da Madre de Deus,""202110"",0.4451"
"Brejo da Madre de Deus,""202111"",0.4648"
"Brejo da Madre de Deus,""202112"",0.2693"
"Brejo da Madre de Deus,""202201"",0.1825"
"Brejo da Madre de Deus,""202202"",0.0342"
"Brejo da Madre de Deus,""202203"",0.327"
"Brejo da Madre de Deus,""202204"",0.0829"
"Brejo da Madre de Deus,""202205"",0.0776"
"Brejo da Madre de Deus,""202206"",0.0263"
"Brejo da Madre de Deus,""202207"",0.0336"
"Brejo da Madre de Deus,""202208"",0.0625"
"Brejo da Madre de Deus,""202209"",0.1983"
"Brejo da Madre de Deus,""202210"",0.239"
"Brejo da Madre de Deus,""202211"",0.3565"
"Brejo da Madre de Deus,""202212"",0.0247"
"Brejo da Madre de Deus,""202301"",0.3325"
"Brejo da Madre de Deus,""202302"",0.2154"
"Brejo da Madre de Deus,""202303"",0.0669"
"Brejo da Madre de Deus,""202304"",0.0012"
"Brejo da Madre de Deus,""202305"",0.0135"
"Brejo da Madre de Deus,""202306"",0.0124"
"Buíque,""202002"",0.4988"
"Buíque,""202003"",0.0561"
"Buíque,""202004"",0"
"Buíque,""202005"",0.0005"
"Buíque,""202006"",0.1304"
"Buíque,""202007"",0.015"
"Buíque,""202008"",0.0198"
"Buíque,""202009"",0.2339"
"Buíque,""202010"",0.6668"
"Buíque,""202011"",0.7326"
"Buíque,""202012"",0.1417"
"Buíque,""202101"",0.4572"
"Buíque,""202102"",0.7732"
"Buíque,""202103"",0.6723"
"Buíque,""202104"",0.1407"
"Buíque,""202105"",0.0797"
"Buíque,""202106"",0.0043"
"Buíque,""202107"",0.0988"
"Buíque,""202108"",0.05"
"Buíque,""202109"",0.4252"
"Buíque,""202110"",0.8988"
"Buíque,""202111"",0.8689"
"Buíque,""202112"",0.8729"
"Buíque,""202201"",0.4524"
"Buíque,""202202"",0.2294"
"Buíque,""202203"",0.6632"
"Buíque,""202204"",0.2987"
"Buíque,""202205"",0.2251"
"Buíque,""202206"",0.003"
"Buíque,""202207"",0.0002"
"Buíque,""202208"",0.0007"
"Buíque,""202209"",0.0153"
"Buíque,""202210"",0.3652"
"Buíque,""202211"",0.613"
"Buíque,""202212"",0.0058"
"Buíque,""202301"",0.4686"
"Buíque,""202302"",0.7146"
"Buíque,""202303"",0.0492"
"Buíque,""202304"",0.0632"
"Buíque,""202305"",0.0139"
"Buíque,""202306"",0.0093"
"Cabo de Santo Agostinho,""202002"",0.085"
"Cabo de Santo Agostinho,""202003"",0.1015"
"Cabo de Santo Agostinho,""202004"",0.0794"
"Cabo de Santo Agostinho,""202005"",0.0535"
"Cabo de Santo Agostinho,""202006"",0.0362"
"Cabo de Santo Agostinho,""202007"",0.0221"
"Cabo de Santo Agostinho,""202008"",0.0199"
"Cabo de Santo Agostinho,""202009"",0.0263"
"Cabo de Santo Agostinho,""202010"",0.0372"
"Cabo de Santo Agostinho,""202011"",0.2107"
"Cabo de Santo Agostinho,""202012"",0.169"
"Cabo de Santo Agostinho,""202101"",0.034"
"Cabo de Santo Agostinho,""202102"",0.0769"
"Cabo de Santo Agostinho,""202103"",0.0315"
"Cabo de Santo Agostinho,""202104"",0.0335"
"Cabo de Santo Agostinho,""202105"",0.0246"
"Cabo de Santo Agostinho,""202106"",0.0166"
"Cabo de Santo Agostinho,""202107"",0.016"
"Cabo de Santo Agostinho,""202108"",0.014"
"Cabo de Santo Agostinho,""202109"",0.0398"
"Cabo de Santo Agostinho,""202110"",0.0641"
"Cabo de Santo Agostinho,""202111"",0.0933"
"Cabo de Santo Agostinho,""202112"",0.0621"
"Cabo de Santo Agostinho,""202201"",0.0382"
"Cabo de Santo Agostinho,""202202"",0.0454"
"Cabo de Santo Agostinho,""202203"",0.0314"
"Cabo de Santo Agostinho,""202204"",0.0323"
"Cabo de Santo Agostinho,""202205"",0.0344"
